HTTrack3.49-2 launched on Sat, 16 Jul 2022 19:36:21 at http://www.htmlbible.com/
(/usr/bin/httrack -iC1 -r6 http://www.htmlbible.com/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B11C002.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B12C015.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B12C015.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B19C124.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B19C124.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B19C125.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B19C125.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B19C126.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B19C126.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B23C040.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B23C040.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B42C013.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B42C013.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B43C008.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B43C008.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B60C004.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjvlarge/B60C004.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvapocrypha/B68C008.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/kjvapocrypha/B68C008.htm (from www.htmlbible.com/sacrednamebiblecom/kjvapocrypha/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/moderngreek/B18C022.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B18C022.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/moderngreek/B24C015.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B24C015.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/moderngreek/B24C047.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B24C047.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
